Designator,Mid X,Mid Y,Rotation,Layer
15,70.058,-29.03,0.0,top
7,153.48302,-93.561318,0.0,top
F2,106.548,-48.262,90.0,top
Q4,83.222,-62.62,-90.0,top
13,61.236,-28.968,0.0,top
R1,146.394,-57.628,-90.0,top
3.3 V Regulator,72.1805,-70.3575,0.0,top
12,57.362,-28.966,0.0,top
_15,135.70302,-93.561318,0.0,top
9,65.568,-26.44,0.0,top
R4,158.71,-57.612,-90.0,top
R14,166.808,-73.36,-90.0,top
Bluetooth Module,79.43,-72.64,180.0,top
R8,175.196,-57.644,-90.0,top
D2,120.108,-61.028,-90.0,top
SW1,108.16,-32.506,180.0,top
R7,171.0,-57.612,-90.0,top
_14,65.336,-28.982,0.0,top
D5,135.214,-79.804,90.0,top
R2,150.45,-57.62,-90.0,top
Q8,83.192,-78.436,90.0,top
16,74.288,-29.164,0.0,top
_13,176.994,-28.108,0.0,top
D6,120.104,-79.584,90.0,top
F7,103.272,-81.628,0.0,top
R5,162.74,-57.612,-90.0,top
6,150.94302,-93.561318,0.0,top
U2,58.6055,-79.747,0.0,top
_12,144.572,-89.982,0.0,top
2,140.78302,-93.561318,0.0,top
R16,175.178,-73.31,-90.0,top
A1,135.45,-50.142,90.0,top
R15,171.036,-73.316,-90.0,top
_11,67.256,-93.714,0.0,top
F3,91.79,-48.262,90.0,top
_10,143.41,-26.828,0.0,top
_9,57.074,-29.008,0.0,top
R10,150.506,-73.46,-90.0,top
_8,69.888,-29.072,0.0,top
_7,171.256,-28.17,0.0,top
8,61.236,-26.468,0.0,top
Q7,97.918,-78.442,90.0,top
SW2,122.146,-29.856,180.0,top
3,143.32302,-93.561318,0.0,top
F8,88.148,-81.628,0.0,top
10,70.058,-26.53,0.0,top
11,74.288,-26.664,0.0,top
R11,154.52,-73.426,-90.0,top
4,145.86302,-93.561318,0.0,top
D3,105.02,-61.076,-90.0,top
F4,77.072,-48.276,90.0,top
_6,57.362,-26.466,0.0,top
F1,118.734,-48.262,90.0,top
D7,105.0,-79.786,90.0,top
F5,135.91,-81.544,0.0,top
_5,77.232,-93.668,0.0,top
R6,166.838,-57.612,-90.0,top
D8,90.356,-79.44,90.0,top
_4,74.288,-29.09,0.0,top
D1,135.19,-61.062,-90.0,top
R3,154.546,-57.62,-90.0,top
R13,162.798,-73.398,-90.0,top
_3,61.186,-28.974,0.0,top
Q6,112.718,-78.264,90.0,top
Q3,97.92,-62.312,-90.0,top
5,148.40302,-93.561318,0.0,top
Q5,128.112,-78.08,90.0,top
_2,174.1,-28.168,0.0,top
R9,146.434,-73.42,-90.0,top
D4,90.356,-60.97,-90.0,top
Q2,112.676,-62.49,-90.0,top
,180.228,-28.17,0.0,top
F6,119.296,-81.628,0.0,top
1,138.24302,-93.561318,0.0,top
14,65.568,-28.94,0.0,top
R12,158.658,-73.404,-90.0,top
Q1,128.09,-62.476,-90.0,top
